Time (sec),Rotation_X (deg),Height_Z (mm)
15.000,-3.169,-7.225
15.033,-3.148,-7.177
15.067,-3.148,-7.177
15.100,-3.148,-7.177
15.133,-3.148,-7.177
15.167,-3.148,-7.177
15.200,-3.148,-7.177
15.233,-3.127,-7.128
15.267,-3.127,-7.128
15.300,-3.127,-7.128
15.333,-3.127,-7.128
15.367,-3.104,-7.077
15.400,-3.083,-7.029
15.433,-3.059,-6.991
15.467,-3.059,-6.991
15.500,-3.036,-6.938
15.533,-3.016,-6.885
15.567,-3.016,-6.885
15.600,-3.016,-6.885
15.633,-3.016,-6.885
15.667,-3.016,-6.885
15.700,-3.002,-6.834
15.733,-3.002,-6.834
15.767,-3.002,-6.834
15.800,-3.002,-6.834
15.833,-2.986,-6.790
15.867,-2.973,-6.749
15.900,-2.961,-6.711
15.933,-2.961,-6.711
15.967,-2.954,-6.674
16.000,-2.947,-6.639
16.033,-2.939,-6.610
16.067,-2.933,-6.582
16.100,-2.933,-6.582
16.133,-2.933,-6.582
16.167,-2.930,-6.555
16.200,-2.930,-6.555
16.233,-2.930,-6.555
16.267,-2.930,-6.555
16.300,-2.922,-6.535
16.333,-2.914,-6.517
16.367,-2.909,-6.498
16.400,-2.909,-6.498
16.433,-2.902,-6.483
16.467,-2.899,-6.467
16.500,-2.899,-6.450
16.533,-2.899,-6.450
16.567,-2.899,-6.450
16.600,-2.899,-6.450
16.633,-2.899,-6.436
16.667,-2.899,-6.436
16.700,-2.899,-6.436
16.733,-2.899,-6.436
16.767,-2.898,-6.426
16.800,-2.894,-6.423
16.833,-2.894,-6.423
16.867,-2.894,-6.423
16.900,-2.889,-6.419
16.933,-2.889,-6.419
16.967,-2.889,-6.419
17.000,-2.886,-6.420
17.033,-2.886,-6.420
17.067,-2.886,-6.420
17.100,-2.886,-6.420
17.133,-2.886,-6.420
17.167,-2.887,-6.421
17.200,-2.890,-6.422
17.233,-2.890,-6.422
17.267,-2.890,-6.422
17.300,-2.888,-6.427
17.333,-2.887,-6.431
17.367,-2.886,-6.434
17.400,-2.890,-6.436
17.433,-2.890,-6.436
17.467,-2.890,-6.436
17.500,-2.890,-6.436
17.533,-2.890,-6.436
17.567,-2.890,-6.436
17.600,-2.893,-6.436
17.633,-2.892,-6.439
17.667,-2.892,-6.439
17.700,-2.892,-6.439
17.733,-2.892,-6.439
17.767,-2.892,-6.439
17.800,-2.897,-6.438
17.833,-2.898,-6.441
17.867,-2.895,-6.450
17.900,-2.895,-6.450
17.933,-2.899,-6.451
17.967,-2.944,-6.411
18.000,-2.944,-6.411
18.033,-2.944,-6.411
18.067,-2.944,-6.411
18.100,-2.944,-6.411
18.133,-2.944,-6.411
18.167,-2.944,-6.411
18.200,-2.945,-6.431
18.233,-2.945,-6.431
18.267,-2.947,-6.441
18.300,-2.949,-6.449
18.333,-2.949,-6.457
18.367,-2.953,-6.461
18.400,-2.961,-6.460
18.433,-2.961,-6.460
18.467,-2.961,-6.460
